,
"S0801",0.5,,"Total","Margin of Error","Male","Margin of Error","Female","Margin of Error",,,,,,
"S0801",1.0,"Workers 16 years and over","440,881","+/-10,536","228,910","+/-5,828","211,971","+/-7,267",,,,,,
"S0801",1.5,"MEANS OF TRANSPORTATION TO WORK",,,,,,,,,,,,
"S0801",2.0,"Car, truck, or van","93.4","+/-0.8","92.6","+/-1.1","94.3","+/-0.9",,,,,,
"S0801",3.0,"Drove alone","81.4","+/-1.1","79.8","+/-1.6","83.3","+/-1.4",,,,,,
"S0801",4.0,"Carpooled","12.0","+/-0.9","12.8","+/-1.2","11.1","+/-1.1",,,,,,
