,4.000,"Value $10,000 to $19,999","1,078","+/-459","619","1,537"
"B25121",5.000,"Value $20,000 to $29,999","1,365","+/-578","787","1,943"
"B25121",6.000,"Value $30,000 to $39,999","778","+/-337","441","1,115"
"B25121",7.000,"Value $40,000 to $49,999","1,251","+/-520","731","1,771"
"B25121",8.000,"Value $50,000 to $59,999","1,408","+/-572","836","1,980"
"B25121",9.000,"Value $60,000 to $69,999","1,633","+/-559","1,074","2,192"
"B25121",10.000,"Value $70,000 to $79,999","906","+/-367","539","1,273"
"B25121",1
