1",18.000,"Management of companies and enterprises","-","**","**","**"
"B24031",19.000,"Administrative and support and waste management services","20,295","+/-4,665","15,630","24,960"
"B24031",20.000,"Educational services, and health care and social assistance:","27,528","+/-2,370","25,158","29,898"
"B24031",21.000,"Educational services","31,997","+/-1,920","30,077","33,917"
"B24031",22.000,"Health care and social assistance","23,846","+/-2,681","21,165","26,527"
"B24031",23.000,"Arts, entertainment, and re
