Hispanic or Latino",125,"Different state","3.3","+/-0.5","3.3","+/-0.6"
"450","Not Hispanic or Latino",126,"Abroad","0.4","+/-0.2","0.3","+/-0.2"
"450","Not Hispanic or Latino",127,"Total population","665,912","+/-4,758","650,776","+/-4,918"
"450","Not Hispanic or Latino",128,"Native","649,557","+/-5,292","642,513","+/-5,155"
"450","Not Hispanic or Latino",129,"Male","48.7","+/-0.3","48.6","+/-0.2"
"450","Not Hispanic or Latino",130,"Female","51.3","+/-0.3","51.4","+/-0.2"
"450","Not Hispanic or Latino",131
