Education, training, and library occupations:","2,179","+/-826","1,353","3,005"
"B24020",37.000,"Postsecondary teachers","1,365","+/-691","674","2,056"
"B24020",38.000,"Primary, secondary, and special education school teachers:","652","+/-411","241","1,063"
"B24020",39.000,"Preschool, kindergarten, elementary and middle school teachers","391","+/-274","117","665"
"B24020",40.000,"Secondary school teachers","261","+/-274","0","535"
"B24020",41.000,"Special education teachers","0","+/-292","0","292"
"B24020",
