.00 ,CORD ,740000
2007 ,933179 ,FOREST PRODUCTS FIREWOOD ,19 ,Fresno ,  ,  ,4971 ,105.21 ,CORD ,523000
2007 ,933179 ,FOREST PRODUCTS FIREWOOD ,21 ,Glenn ,  ,  ,  ,  ,  ,140000
2007 ,933179 ,FOREST PRODUCTS FIREWOOD ,29 ,Kern ,  ,  ,1170 ,285.47 ,CORD ,334000
2007 ,933179 ,FOREST PRODUCTS FIREWOOD ,31 ,Kings ,  ,  ,1500 ,110.00 ,CORD ,165000
2007 ,933179 ,FOREST PRODUCTS FIREWOOD ,37 ,Los Angeles ,  ,  ,  ,  ,  ,35000
2007 ,933179 ,FOREST PRODUCTS FIREWOOD ,39 ,Madera ,  ,  ,8755 ,159.34 ,CORD ,1395000
