2H",2.000,"Male","39.7","+/-0.6","39.1","40.3"
"B01002H",3.000,"Female","42.9","+/-0.5","42.4","43.4"
"B01002I",.,"MEDIAN AGE BY SEX (HISPANIC OR LATINO)",,,,
"B01002I",.,"Universe:  Hispanic or Latino population",,,,
"B01002I",0.700,"Median age --",,,,
"B01002I",1.000,"Total:","30.5","+/-13.5","17.0","44.0"
"B01002I",2.000,"Male","30.0","+/-23.0","7.0","53.0"
"B01002I",3.000,"Female","38.1","+/-22.7","15.4","60.8"
"B01003",.,"TOTAL POPULATION",,,,
"B01003",.,"Universe:  Total population",,,,
"B01003",1.000
