B10002",.,"GRANDCHILDREN UNDER 18 YEARS LIVING WITH A GRANDPARENT HOUSEHOLDER BY GRANDPARENT RESPONSIBILITY AND PRESENCE OF PARENT",,,,
"B10002",.,"Universe: Grandchildren under 18 living with a grandparent householder",,,,
"B10002",1.000,"Total:","14,789","+/-3,113","11,676","17,902"
"B10002",2.000,"Grandparent householder responsible for own grandchildren under 18 years:","8,531","+/-2,831","5,700","11,362"
"B10002",3.000,"Parent present","5,755","+/-3,022","2,733","8,777"
"B10002",4.000,"No parent presen
