rish (050, 081)",153,"Speak English less than ""very well""","9.0","+/-0.6","0.2","+/-0.2"
"541","Irish (050, 081)",154,"Population 16 years and over","626,446","+/-6,009","86,435","+/-5,276"
"541","Irish (050, 081)",155,"In labor force","66.1","+/-0.9","64.5","+/-3.3"
"541","Irish (050, 081)",156,"Civilian labor force","65.5","+/-0.9","63.7","+/-3.3"
"541","Irish (050, 081)",157,"Employed","61.5","+/-0.9","59.0","+/-3.2"
"541","Irish (050, 081)",158,"Unemployed","4.0","+/-0.6","4.7","+/-1.4"
"541","Irish (
