74,999","964","+/-450","514","1,414"
"B07010",66.000,"$75,000 or more","2,969","+/-774","2,195","3,743"
"B07011",.,"MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES",,,,
"B07011",.,"Universe:  Population 15 years and over in the United States with income",,,,
"B07011",0.700,"Median income in the past 12 months --",,,,
"B07011",1.000,"Total:","32,756","+/-436","32,320","33,192"
"B07011",2.000,"Same ho
