444","+/-4,729","14.6","+/-3.2"
"DP02",80.0,"Same county","14,686","+/-4,044","10.5","+/-2.8"
"DP02",81.0,"Different county","5,758","+/-2,701","4.1","+/-1.9"
"DP02",82.0,"Same state","3,418","+/-2,271","2.4","+/-1.6"
"DP02",83.0,"Different state","2,340","+/-1,289","1.7","+/-0.9"
"DP02",84.0,"Abroad","265","+/-259","0.2","+/-0.2"
"DP02",84.3,,,,,
"DP02",84.5,"PLACE OF BIRTH",,,,
"DP02",85.0,"Total population","141,257","+/-8,687","100","(X)"
"DP02",86.0,"Native","109,228","+/-7,178","77.3","+/-2.5"
"DP02",
