52","With a disability","       100,989","  12.9%","       111,762","  14.6%","   1.7%","+/-1.8%","no"
"        2","      53","     Percent employed","          50.2","(NA)","          47.9","(NA)","          -2.3","+/-6.8","no"
"        2","      54","No disability","       679,651","  87.1%","       655,215","  85.4%","- 1.7%","+/-1.8%","no"
"        2","      55","     Percent employed","          78.7","(NA)","          77.7","(NA)","          -1.0","+/-2.5","no"
"        2","      56"," "," "," ","
