,984","*****","*****","*****"
"C03002",2.000,"Not Hispanic or Latino:","544,476","*****","*****","*****"
"C03002",3.000,"White alone","322,107","+/-1,234","320,873","323,341"
"C03002",4.000,"Black or African American alone","21,031","+/-1,376","19,655","22,407"
"C03002",5.000,"American Indian and Alaska Native alone","1,487","+/-552","935","2,039"
"C03002",6.000,"Asian alone","168,848","+/-2,114","166,734","170,962"
"C03002",7.000,"Native Hawaiian and Other Pacific Islander alone","9,398","+/-722","8,676","
