.000,"With related children under 18 years:","10,377","+/-1,772","8,605","12,149"
"B17010B",18.000,"Under 5 years only","2,076","+/-810","1,266","2,886"
"B17010B",19.000,"Under 5 years and 5 to 17 years","2,257","+/-912","1,345","3,169"
"B17010B",20.000,"5 to 17 years only","6,044","+/-1,368","4,676","7,412"
"B17010B",21.000,"No related children under 18 years","1,847","+/-672","1,175","2,519"
"B17010B",22.000,"Income in the past 12 months at or above poverty level:","158,252","+/-3,734","154,518","161,986"
