4001G",.,"SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (TWO OR MORE RACES)",,,,
"B14001G",.,"Universe:  Two or more races population 3 years and over",,,,
"B14001G",1.000,"Total:","4,147","+/-1,051","3,096","5,198"
"B14001G",2.000,"Enrolled in school:","2,003","+/-624","1,379","2,627"
"B14001G",3.000,"Enrolled in nursery school, kindergarten","443","+/-339","104","782"
"B14001G",4.000,"Enrolled in grade 1 to grade 8","689","+/-345","344","1,034"
"B14001G",5.000,"Enrolled in grade
