3 ENE SIMSBORO,CRITTENDEN,AR,35.04,-90.34,(MEG)
1848,100,WARD,LONOKE,AR,35.02,-91.96,(LZK)
1850,100,DES ARC,PRAIRIE,AR,34.98,-91.51,(LZK)
1916,75,OOLOGAH,ROGERS,OK,36.45,-95.71,(TSA)
1918,100,VILONIA,FAULKNER,AR,35.08,-92.21,(LZK)
1924,100,JACKSONVILLE,PULASKI,AR,34.87,-92.13,(LZK)
1925,88,5 ESE DOWNTOWN MEMPHIS,SHELBY,TN,35.11,-89.97,(MEG)
1930,75,TUNICA,TUNICA,MS,34.69,-90.38,(MEG)
1950,75,LEVY,PULASKI,AR,34.8,-92.27,(LZK)
1957,88,4 E HERNANDO,DESOTO,MS,34.83,-89.92,(MEG)
2000,88,2 SE MIDNIGHT,HUMPHREYS,M
