 RV, van, etc.","404","+/-402","2","806"
"B25034",.,"YEAR STRUCTURE BUILT",,,,
"B25034",.,"Universe:  Housing units",,,,
"B25034",1.000,"Total:","266,796","+/-233","266,563","267,029"
"B25034",2.000,"Built 2005 or later","2,095","+/-742","1,353","2,837"
"B25034",3.000,"Built 2000 to 2004","7,347","+/-1,243","6,104","8,590"
"B25034",4.000,"Built 1990 to 1999","14,958","+/-1,941","13,017","16,899"
"B25034",5.000,"Built 1980 to 1989","25,647","+/-2,272","23,375","27,919"
"B25034",6.000,"Built 1970 to 1979","43
