bination with one or more other races, not Hispanic or Latino",38,"Householder or spouse","57.0","+/-0.8","62.1","+/-0.9"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",39,"Child","29.7","+/-0.8","26.0","+/-0.7"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",40,"Other relatives","6.8","+/-0.7","5.5","+/-0.7"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",41,"Nonrelatives","6.6"
