     100"," "," "," "," "
" ","         101"," "," "," "," "
"S0201","         101","1,065,661"," +/-3,426","            78,826","             +/-3,594"
"S0201","         102","      4.8","   +/-0.4","               3.6","               +/-1.1"
"S0201","         103","     46.7","   +/-4.1","              43.6","              +/-17.8"
" ","         103"," "," "," "," "
" ","         104"," "," "," "," "
"S0201","         104","1,392,104"," +/-4,654","            97,406","             +/-4,594"
"S0201","    
