$24,999","764","+/-571","193","1,335"
"B19131",44.000,"$25,000 to $29,999","881","+/-578","303","1,459"
"B19131",45.000,"$30,000 to $34,999","469","+/-404","65","873"
"B19131",46.000,"$35,000 to $39,999","509","+/-407","102","916"
"B19131",47.000,"$40,000 to $44,999","559","+/-455","104","1,014"
"B19131",48.000,"$45,000 to $49,999","540","+/-511","29","1,051"
"B19131",49.000,"$50,000 to $59,999","699","+/-489","210","1,188"
"B19131",50.000,"$60,000 to $74,999","848","+/-512","336","1,360"
"B19131",51.000,"$
