X (HISPANIC OR LATINO)",,,,
"B01002I",.,"Universe:  Hispanic or Latino population",,,,
"B01002I",0.700,"Median age --",,,,
"B01002I",1.000,"Total:","30.0","+/-0.1","29.9","30.1"
"B01002I",2.000,"Male","29.1","+/-0.4","28.7","29.5"
"B01002I",3.000,"Female","30.8","+/-0.3","30.5","31.1"
"B01003",.,"TOTAL POPULATION",,,,
"B01003",.,"Universe:  Total population",,,,
"B01003",1.000,"Total","706,984","*****","*****","*****"
"B02001",.,"RACE",,,,
"B02001",.,"Universe:  Total population",,,,
"B02001",1.000,"Total:"
