ign born",49,"With own children under 18 years","6.7","+/-0.7","9.0","+/-2.0"
"601","Foreign born",50,"Nonfamily households","38.2","+/-1.0","30.6","+/-2.8"
"601","Foreign born",51,"Male householder","18.1","+/-0.9","17.4","+/-2.7"
"601","Foreign born",52,"Living alone","14.5","+/-0.9","13.6","+/-2.5"
"601","Foreign born",53,"Not living alone","3.5","+/-0.5","3.8","+/-1.4"
"601","Foreign born",54,"Female householder","20.1","+/-0.7","13.3","+/-2.2"
"601","Foreign born",55,"Living alone","17.2","+/-0.8","11.
