population",256,"Related children 5 to 17 years",,,"20.0","+/-2.5"
"001","Total population",257,"18 years and over",,,"13.0","+/-1.0"
"001","Total population",258,"18 to 64 years",,,"14.1","+/-1.1"
"001","Total population",259,"65 years and over",,,"8.2","+/-1.3"
"001","Total population",260,"People in families",,,"12.0","+/-1.4"
"001","Total population",261,"Unrelated individuals 15 years and over",,,"25.8","+/-1.7"
"001","Total population",262,"Occupied housing units",,,"374,739","+/-4,285"
"001","Total p
