,PEPPERS CHILI HOT ,85 ,Santa Clara ,478 ,21.00 ,10038 ,452.98 ,TON ,4547000
2007 ,364999 ,PEPPERS CHILI HOT ,991 ,Sum of Others ,1237 ,9.61 ,11885 ,620.55 ,TONS ,7375200
2007 ,364999 ,PEPPERS CHILI HOT , 999, State Totals,1715 ,12.78 ,21923 ,543.82 ,    ,11922200
2007 ,218299 ,PERSIMMONS ,19 ,Fresno ,773 ,6.27 ,4850 ,1150.93 ,TON ,5582000
2007 ,218299 ,PERSIMMONS ,65 ,Riverside ,15 ,4.20 ,63 ,1250.79 ,TONS ,78800
2007 ,218299 ,PERSIMMONS ,73 ,San Diego ,420 ,6.10 ,2562 ,643.01 ,TON ,1647400
2007 ,218
