","48.9","+/-0.3","49.4","+/-0.8"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",25,"18 years and over","737,125","+/-192","471,288","+/-1,775"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",26,"Male","48.3","+/-0.1","48.3","+/-0.2"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",27,"Female","51.7","+/-0.1","51.7","+/-0.2"
"452","White alone or in combination with one or more ot
