05",.,"Universe:  Population born outside the United States",,,,
"C05005",1.000,"Total:","637,864","+/-11,592","626,272","649,456"
"C05005",2.000,"Entered U.S. 2000 or later:","196,331","+/-11,527","184,804","207,858"
"C05005",3.000,"Native","14,217","+/-3,660","10,557","17,877"
"C05005",4.000,"Foreign born","182,114","+/-11,766","170,348","193,880"
"C05005",5.000,"Entered U.S. 1990 to 1999:","180,472","+/-8,479","171,993","188,951"
"C05005",6.000,"Native","14,210","+/-1,947","12,263","16,157"
"C05005",7.00
