892999 ,NURSERY TURF ,27 ,Inyo ,375 ,  ,  ,  ,  ,3200000
2007 ,892999 ,NURSERY TURF ,29 ,Kern ,  ,  ,  ,  ,  ,14743000
2007 ,892999 ,NURSERY TURF ,65 ,Riverside ,  ,  ,  ,  ,  ,52726500
2007 ,892999 ,NURSERY TURF ,71 ,San Bernardino ,187 ,  ,  ,  ,  ,1208300
2007 ,892999 ,NURSERY TURF ,991 ,Sum of Others ,2611 ,  ,  ,  ,  ,52829800
2007 ,892999 ,NURSERY TURF , 999, State Totals,3173 ,  ,0 ,  ,    ,124707600
2007 ,895999 ,NURSERY WOODY ORNAMNTALS ,1 ,Alameda ,  ,  ,  ,  ,  ,20393000
2007 ,895999 ,NURS
