ico",80,"Elementary school (grades 1-8)","38.2","+/-1.1","39.7","+/-8.5"
"717","Mexico",81,"High school (grades 9-12)","20.3","+/-1.0","28.3","+/-7.7"
"717","Mexico",82,"College or graduate school","31.8","+/-1.3","29.7","+/-9.8"
"717","Mexico",83,"Male 3 years and over enrolled in school","124,724","+/-3,267","4,572","+/-1,452"
"717","Mexico",84,"Percent enrolled in kindergarten to grade 12","67.1","+/-1.8","83.5","+/-11.2"
"717","Mexico",85,"Percent enrolled in college or graduate school","27.7","+/-1.9",
