3.000,"Speak language other than English:","17,555","+/-2,378","15,177","19,933"
"C08113",4.000,"Speak English ""very well""","9,544","+/-1,743","7,801","11,287"
"C08113",5.000,"Speak English less than ""very well""","8,011","+/-1,725","6,286","9,736"
"C08113",6.000,"Car, truck, or van - drove alone:","32,822","+/-2,794","30,028","35,616"
"C08113",7.000,"Speak only English","21,302","+/-2,391","18,911","23,693"
"C08113",8.000,"Speak language other than English:","11,520","+/-1,958","9,562","13,478"
"C08113"
