,Washington,"4,502","4,490","4,505","4,500","4,500"
.Cheney city,Washington,"9,497","9,352","8,853","8,832","8,832"
.Deer Park city,Washington,"3,060","3,033","3,019","3,017","3,017"
.Fairfield town,Washington,495,495,494,494,494
.Latah town,Washington,151,151,151,151,151
.Liberty Lake city,Washington,"3,076","3,067","3,067","3,069",(X)
.Medical Lake city,Washington,"3,941","3,879","3,829","3,815","3,758"
.Millwood town,Washington,"1,645","1,641","1,647","1,649","1,649"
.Rockford town,Washington,421,418,414
