f any race)","7.0","+/-0.1","15,217","+/-206",,,,,,,,
"S1902",24.0,"White alone, not Hispanic or Latino","75.5","+/-0.1","29,960","+/-99",,,,,,,,
"S1902",24.3,,,,,,,,,,,,,
"S1902",24.5,"PERCENT IMPUTED",,,,,,,,,,,,
"S1902",25.0,"Household income in the past 12 months","23.3","(X)","(X)","(X)",,,,,,,,
"S1902",26.0,"Family income in the past 12 months","23.5","(X)","(X)","(X)",,,,,,,,
"S1902",27.0,"Individual income in the past 12 months","18.3","(X)","(X)","(X)",,,,,,,,
"S1903",0.0,,,,,,,,,,,,,
"S1903",0.5,,
