6002",13.000,"Linguistically isolated","0","+/-265","0","265"
"B16002",14.000,"Not linguistically isolated","614","+/-505","109","1,119"
"B16003",.,"AGE BY LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER IN LINGUISTICALLY ISOLATED HOUSEHOLDS",,,,
"B16003",.,"Universe:  Population 5 years and over in linguistically isolated households",,,,
"B16003",1.000,"Total:","N","N","N","N"
"B16003",2.000,"5 to 17 years:","N","N","N","N"
"B16003",3.000,"Speak only English","N","N","N","N"
"B16003",4.000,"Spe
