,347"
"B11014",6.000,"In mother-child subfamilies:","1,217","+/-886","331","2,103"
"B11014",7.000,"Parent","698","+/-534","164","1,232"
"B11014",8.000,"Child","519","+/-372","147","891"
"B11014",9.000,"In father-child subfamilies:","106","+/-178","0","284"
"B11014",10.000,"Parent","61","+/-102","0","163"
"B11014",11.000,"Child","45","+/-77","0","122"
"B11015",.,"HOUSEHOLDS BY PRESENCE OF NONRELATIVES",,,,
"B11015",.,"Universe:  Households",,,,
"B11015",1.000,"Total:","37,478","+/-1,855","35,623","39,333"
"B
