 436,403","  77.4%","       437,550","  77.5%","   0.1%","+/-1.8%","no"
"        3","      66","     Mean earnings (in 2001 inflation-adjusted dollars)","        54,261","(NA)","        55,045","(NA)","           784","+/-3,239","no"
"        3","      67","With Social Security","       155,630","  27.6%","       156,455","  27.7%","   0.1%","+/-1.5%","no"
"        3","      68","     Mean Social Security income (in 2001 inflation-adjusted dollars)","        12,090","(NA)","        12,138","(NA)","      
