TUS BY SEX",,,,
"B05004",.,"Universe:  Total population",,,,
"B05004",1.000,"Total:","37.4","+/-0.1","37.3","37.5"
"B05004",2.000,"Male","36.3","+/-0.2","36.1","36.5"
"B05004",3.000,"Female","38.5","+/-0.2","38.3","38.7"
"B05004",4.000,"Native:","36.9","+/-0.2","36.7","37.1"
"B05004",5.000,"Male","35.7","+/-0.2","35.5","35.9"
"B05004",6.000,"Female","37.9","+/-0.2","37.7","38.1"
"B05004",7.000,"Foreign born:","39.5","+/-0.4","39.1","39.9"
"B05004",8.000,"Male","38.5","+/-0.5","38.0","39.0"
"B05004",9.000,"F
