ation, and material moving occupations","1,160","+/-654","506","1,814"
"B08124",56.000,"Armed forces","0","+/-303","0","303"
"B08126",.,"MEANS OF TRANSPORTATION TO WORK BY INDUSTRY",,,,
"B08126",.,"Universe:  Workers 16 years and over",,,,
"B08126",1.000,"Total:","377,420","+/-10,871","366,549","388,291"
"B08126",2.000,"Agriculture, forestry, fishing and hunting, and mining","2,360","+/-931","1,429","3,291"
"B08126",3.000,"Construction","40,660","+/-4,516","36,144","45,176"
"B08126",4.000,"Manufacturing","2
