"0.6",
"DP04",22.0,"Built 1960 to 1969","17.4%","0.7","16.2%","0.7",
"DP04",23.0,"Built 1950 to 1959","16.7%","0.6","16.9%","0.6",
"DP04",24.0,"Built 1940 to 1949","6.7%","0.5","7.6%","0.5",
"DP04",25.0,"Built 1939 or earlier","14.1%","0.7","13.7%","0.7",
"DP04",25.3,,,,,,
"DP04",25.5,"ROOMS",,,,,
"DP04",26.0,"Total housing units","251,434","1,219","251,645","1,044",
"DP04",27.0,"1 room","0.4%","0.1","0.7%","0.2",
"DP04",28.0,"2 rooms","1.0%","0.1","1.6%","0.2","*"
"DP04",29.0,"3 rooms","8.1%","0.5","7.3%",
