32","529,820","530,174","530,132","529,966","529,738","529,738"
,,,,,,,,,
.Median age (years),41.1,40.7,40.3,39.9,39.5,39.1,38.7,38.6,38.6
MALE,"646,427","644,128","641,404","637,508","632,046","626,769","621,691","620,309","620,309"
.Under 5 years,"36,376","36,309","36,058","35,877","35,702","35,941","36,147","36,186","36,186"
.5 to 9 years,"37,202","37,511","38,021","38,800","39,792","41,008","42,308","42,535","42,535"
.10 to 14 years,"42,107","43,453","45,273","46,199","46,892","47,256","47,547","4
