 races",256,"Related children 5 to 17 years","22.7","+/-3.0","21.3","+/-2.9"
"003","White alone or in combination with one or more other races",257,"18 years and over","15.7","+/-1.2","15.0","+/-1.1"
"003","White alone or in combination with one or more other races",258,"18 to 64 years","16.6","+/-1.3","15.7","+/-1.2"
"003","White alone or in combination with one or more other races",259,"65 years and over","12.2","+/-1.9","12.1","+/-2.0"
"003","White alone or in combination with one or more other races",26
