ss occupants per room","6,308","+/-1,021","5,287","7,329"
"B25014D",3.000,"1.01 or more occupants per room","858","+/-405","453","1,263"
"B25014E",.,"OCCUPANTS PER ROOM (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER)",,,,
"B25014E",.,"Universe:  Occupied housing units with a householder who is Native Hawaiian and Other Pacific Islander alone",,,,
"B25014E",1.000,"Total:","N","N","N","N"
"B25014E",2.000,"1.00 or less occupants per room","N","N","N","N"
"B25014E",3.000,"1.01 or more occupants p
