basins/sc/indian/1997/q2/,inq21997.tgz,976170.nc,19970501,-22.3000,37.6000,0.700000,836.100,6.55000,26.1400,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,976171.nc,19970502,-23.5000,36.9333,0.700000,836.100,6.32000,24.9300,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,976172.nc,19970502,-24.7000,36.2000,0.700000,836.100,5.75000,24.8800,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,976173.nc,19970502,-25.8667,35.2500,0.700000,800.000,6.05000,24.2800,,
woce-uot,./data/basins/s
