      
...3 to 14 years old,"1,262",72,42,44,142,165,136,285,110,86,31,149
…15 to 17 years old,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         
….High School graduate,5,        -,        -,        -,4,        -,        -,1,        -,        -,        -,1
….Not High School graduate,121,18,11,3,10,13,11,11,2,8,5,30
FEMALE,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,    
