cl. Patois, Cajun):","22,819","+/-4,546","18,273","27,365"
"B16001",7.000,"Speak English ""very well""","17,607","+/-3,140","14,467","20,747"
"B16001",8.000,"Speak English less than ""very well""","5,212","+/-1,951","3,261","7,163"
"B16001",9.000,"French Creole:","4,392","+/-1,476","2,916","5,868"
"B16001",10.000,"Speak English ""very well""","4,006","+/-1,414","2,592","5,420"
"B16001",11.000,"Speak English less than ""very well""","386","+/-239","147","625"
"B16001",12.000,"Italian:","4,755","+/-1,197","3,
