ducation, training, and library occupations","8,770","+/-1,275","7,495","10,045"
"B24060",169.000,"Arts, design, entertainment, sports, and media occupations","231","+/-196","35","427"
"B24060",170.000,"Healthcare practitioner and technical occupations:","3,361","+/-978","2,383","4,339"
"B24060",171.000,"Health diagnosing and treating practitioners and other technical occupations","2,177","+/-709","1,468","2,886"
"B24060",172.000,"Health technologists and technicians","1,184","+/-687","497","1,871"
"B24060"
