erica:",19,"21 years and over","70.7","+/-0.5","81.4","+/-3.7"
"716","Central America:",20,"62 years and over","16.0","+/-0.3","3.2","+/-1.4"
"716","Central America:",21,"65 years and over","12.6","+/-0.2","1.9","+/-1.1"
"716","Central America:",22,"Under 18 years","200,416","+/-3,862","9,419","+/-2,669"
"716","Central America:",23,"Male","49.4","+/-1.2","54.6","+/-15.0"
"716","Central America:",24,"Female","50.6","+/-1.2","45.4","+/-15.0"
"716","Central America:",25,"18 years and over","602,644","+/-5,523"
