t Hispanic or Latino",83,"Male 3 years and over enrolled in school","71,343","+/-2,584","61,550","+/-2,157"
"451","White alone, not Hispanic or Latino",84,"Percent enrolled in kindergarten to grade 12","76.2","+/-2.1","76.4","+/-2.3"
"451","White alone, not Hispanic or Latino",85,"Percent enrolled in college or graduate school","17.1","+/-1.9","17.1","+/-1.9"
"451","White alone, not Hispanic or Latino",86,"Female 3 years and over enrolled in school","74,766","+/-3,328","69,149","+/-2,885"
"451","White alone
