9 ,BEANS LIMA GREEN ,47 ,Merced ,2308 ,1.70 ,3913 ,497.57 ,TON ,1947000
2007 ,303999 ,BEANS LIMA GREEN ,991 ,Sum of Others ,14 ,4.43 ,62 ,1016.13 ,TONS ,63000
2007 ,303999 ,BEANS LIMA GREEN , 999, State Totals,2322 ,1.71 ,3975 ,505.66 ,    ,2010000
2007 ,161131 ,BEANS LIMA LARGE DRY ,47 ,Merced ,2670 ,1.34 ,3590 ,1081.89 ,TON ,3884000
2007 ,161131 ,BEANS LIMA LARGE DRY ,99 ,Stanislaus ,8000 ,1.33 ,10600 ,1200.00 ,TON ,12720000
2007 ,161131 ,BEANS LIMA LARGE DRY , 999, State Totals,10670 ,1.33 ,14190 ,1
