101",23.3,,,,,,,,,,,,,
"S2101",23.5,"MEDIAN INCOME IN THE PAST 12 MONTHS (In 2007 Inflation-Adjusted Dollars)",,,,,,,,,,,,
"S2101",24.0,"Civilian population 18 years and over with income","20,955","+/-1,295","27,417","+/-8,035","20,205","+/-1,830",,,,,,
"S2101",25.0,"Male","(X)","(X)","27,574","+/-7,794","25,538","+/-2,572",,,,,,
"S2101",26.0,"Female","(X)","(X)","20,069","+/-45,202","16,654","+/-1,242",,,,,,
"S2101",26.3,,,,,,,,,,,,,
"S2101",26.5,"EDUCATIONAL ATTAINMENT",,,,,,,,,,,,
"S2101",27.0,"Civilian 
