2",120.0,"Speak English less than ""very well""","0","+/-303","0.0","+/-0.2"
"DP02",120.3,,,,,
"DP02",120.5,"ANCESTRY",,,,
"DP02",121.0,"Total population","141,257","+/-8,687","100","(X)"
"DP02",122.0,"American","11,405","+/-3,220","8.1","+/-2.2"
"DP02",123.0,"Arab","1,038","+/-746","0.7","+/-0.5"
"DP02",124.0,"Czech","123","+/-147","0.1","+/-0.1"
"DP02",125.0,"Danish","181","+/-214","0.1","+/-0.2"
"DP02",126.0,"Dutch","223","+/-286","0.2","+/-0.2"
"DP02",127.0,"English","8,253","+/-1,843","5.8","+/-1.4"
"D
