"
Christiana borough,Pennsylvania,"1,091","1,097","1,105","1,111","1,117","1,123","1,124","1,124"
Churchill borough,Pennsylvania,"3,350","3,398","3,438","3,480","3,517","3,556","3,566","3,566"
Clairton city,Pennsylvania,"8,081","8,159","8,186","8,275","8,369","8,467","8,491","8,491"
Clarendon borough,Pennsylvania,530,539,544,551,559,563,564,564
Clarion borough,Pennsylvania,"5,507","5,511","6,117","5,986","6,103","6,174","6,185","6,185"
Clark borough,Pennsylvania,624,618,624,623,623,631,633,633
Clarks
