000/doc/sf3.pdf.)",,,,,,,,,
,,,,,,,,,
Age,Total,No schooling completed,Nursery school-4th grade,5th-6th grade,7th-8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma"
..Total ,"82,527,456","703,866","373,508","1,038,254","3,255,885","3,064,668","3,533,059","3,211,492","2,750,173"
,,,,,,,,,
Native ,"76,430,184","418,597","206,231","494,892","2,887,353","2,735,911","3,325,561","3,026,228","2,352,542"
.15 to 24 years ,"13,028,764","42,865","11,275","38,644","959,332","1,437,457","1,549,303"
