"Foreign born",134,"Naturalized U.S. citizen","51,033","+/-3,351","51,033","+/-3,351"
"601","Foreign born",135,"Male","42.4","+/-3.5","42.4","+/-3.5"
"601","Foreign born",136,"Female","57.6","+/-3.5","57.6","+/-3.5"
"601","Foreign born",137,"Not a U.S. citizen","79,477","+/-6,509","79,477","+/-6,509"
"601","Foreign born",138,"Male","51.0","+/-2.9","51.0","+/-2.9"
"601","Foreign born",139,"Female","49.0","+/-2.9","49.0","+/-2.9"
"601","Foreign born",140,"Entered 2000 or later","28.8","+/-3.8","28.8","+/-3.8"
