sc/indian/1997/q2/,inq21997.tgz,977703.nc,19970425,5.6833,81.2333,1.00000,460.000,10.3200,30.6100,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,977704.nc,19970426,5.8500,79.8667,1.00000,460.000,10.2900,30.0300,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,977705.nc,19970426,6.5500,78.6500,1.00000,460.000,10.1400,30.3000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,977706.nc,19970426,7.2333,77.4667,1.00000,186.000,15.0900,30.8400,,
woce-uot,./data/basins/sc/indian/1997/q2/,i
