tation and warehousing, and utilities:","N","N","N","N"
"B24040",177.000,"Transportation and warehousing:","N","N","N","N"
"B24040",178.000,"Air transportation","N","N","N","N"
"B24040",179.000,"Rail transportation","N","N","N","N"
"B24040",180.000,"Water transportation","N","N","N","N"
"B24040",181.000,"Truck transportation","N","N","N","N"
"B24040",182.000,"U. S. Postal service","N","N","N","N"
"B24040",183.000,"Other transportation, and support activities, and couriers","N","N","N","N"
"B24040",184.000,"
