 or Latino (of any race)",237,"Male","161,264","+/-4,372","51,087","+/-2,954"
"400","Hispanic or Latino (of any race)",238,"Female","111,786","+/-4,830","33,505","+/-2,872"
"400","Hispanic or Latino (of any race)",239,"Male","52,109","+/-1,554","36,412","+/-2,265"
"400","Hispanic or Latino (of any race)",240,"Female","39,478","+/-1,417","30,872","+/-1,883"
"400","Hispanic or Latino (of any race)",241,"Male","40,604","+/-901","30,125","+/-1,920"
"400","Hispanic or Latino (of any race)",242,"Female","32,351",
