7,187","+/-2,729","24,458","29,916"
"B20017F",7.000,"Other","10,907","+/-1,216","9,691","12,123"
"B20017G",.,"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS (TWO OR MORE RACES)",,,,
"B20017G",.,"Universe:  Two or more races population 16 years and over with earnings in the past 12 months",,,,
"B20017G",0.700,"Median earnings in the past 12 months (in 2007 infla
