 ""not well""","N","N","N","N"
"B16005I",45.000,"Speak English ""not at all""","N","N","N","N"
"B16006",.,"LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO)",,,,
"B16006",.,"Universe:  Hispanic or Latino population 5 years and over",,,,
"B16006",1.000,"Total:","297,560","+/-3,143","294,417","300,703"
"B16006",2.000,"Speak only English","55,377","+/-4,560","50,817","59,937"
"B16006",3.000,"Speak Spanish:","240,633","+/-5,143","235,490","245,776"
"B16
