s/sc/indian/1997/q2/,inq21997.tgz,1126760.nc,19970520,-18.9000,109.533,0.700000,759.400,,,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1126761.nc,19970520,-18.9000,109.533,0.700000,759.400,6.19600,26.2690,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1126762.nc,19970520,-19.8167,109.883,0.700000,759.400,5.93500,26.3680,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1126763.nc,19970520,-20.7833,110.250,0.700000,759.400,5.95700,26.1580,,
woce-uot,./data/basins/sc/indian/1997/q
