000,"Nonveteran","1,275","+/-651","624","1,926"
"B21001F",28.000,"65 to 74 years:","1,122","+/-481","641","1,603"
"B21001F",29.000,"Veteran","0","+/-292","0","292"
"B21001F",30.000,"Nonveteran","1,122","+/-481","641","1,603"
"B21001F",31.000,"75 years and over:","721","+/-521","200","1,242"
"B21001F",32.000,"Veteran","0","+/-292","0","292"
"B21001F",33.000,"Nonveteran","721","+/-521","200","1,242"
"B21001G",.,"SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER (TWO OR MORE RACES)",,,
