/,inq21997.tgz,1321043.nc,19970525,8.4167,71.5667,3.10000,919.900,7.78000,30.6000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1321044.nc,19970525,8.7500,69.8667,3.10000,901.300,8.08000,30.5900,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1321045.nc,19970525,9.1167,68.0000,3.10000,877.500,8.96000,30.6100,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1321046.nc,19970525,9.3167,66.8667,3.10000,871.300,8.57000,30.5800,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1
