EPORTED",,,,
"C04002",.,"Universe: Total population",,,,
"C04002",1.000,"Total:","706,984","*****","*****","*****"
"C04002",2.000,"American","0","+/-292","0","292"
"C04002",3.000,"Arab","1,199","+/-1,387","0","2,586"
"C04002",4.000,"British","973","+/-441","532","1,414"
"C04002",5.000,"Czech","345","+/-229","116","574"
"C04002",6.000,"Danish","1,527","+/-670","857","2,197"
"C04002",7.000,"Dutch","3,231","+/-1,023","2,208","4,254"
"C04002",8.000,"English","18,248","+/-2,452","15,796","20,700"
"C04002",9.000,
