040",7.000,"Female","17,516","+/-1,329","16,187","18,845"
"B18041",.,"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) BY SENSORY DISABILITY BY SEX FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION 16 YEARS AND OVER WITH EARNINGS",,,,
"B18041",.,"Universe: Civilian noninstitutionalized population 16 years and over with earnings in the past 12 months",,,,
"B18041",1.000,"Total:","22,167","+/-465","21,702","22,632"
"B18041",2.000,"With a sensory disability:","16,098","+/-1,424","14,67
