ears,"163,712","168,329","172,086","174,505","179,354","180,213","180,209"
.14 to 17 years,"79,526","79,941","81,393","82,374","84,584","85,034","85,029"
.18 to 64 years,"914,027","902,957","893,779","887,776","877,228","874,683","874,665"
.18 to 24 years,"155,358","155,797","154,500","152,199","147,456","146,396","146,393"
.25 to 44 years,"387,840","387,318","389,762","395,338","399,923","400,821","400,810"
.45 to 64 years,"370,829","359,842","349,517","340,239","329,849","327,466","327,462"
.65 year
