 to $34,999","621","+/-437","184","1,058"
"B19037I",43.000,"$35,000 to $39,999","890","+/-580","310","1,470"
"B19037I",44.000,"$40,000 to $44,999","1,315","+/-642","673","1,957"
"B19037I",45.000,"$45,000 to $49,999","764","+/-408","356","1,172"
"B19037I",46.000,"$50,000 to $59,999","1,923","+/-722","1,201","2,645"
"B19037I",47.000,"$60,000 to $74,999","1,731","+/-694","1,037","2,425"
"B19037I",48.000,"$75,000 to $99,999","3,868","+/-1,207","2,661","5,075"
"B19037I",49.000,"$100,000 to $124,999","2,997","+/-
